taxa,accuracy,sample_size
Neodon sikimensis,0.975,480
Neomicroxus bogotensis,0.95,120
Neomicroxus latebricola,0.8076923077,26
Neotoma albigula,0.8339986861,19789
Neotoma angustapalata,0.9565217391,23
Neotoma bryanti,0.9006750241,3111
Neotoma cinerea,0.7686313403,7058
Neotoma devia,0.9262295082,732
Neotoma floridana,0.8816876903,4598
Neotoma fuscipes,0.8682937092,4753
Neotoma goldmani,0.9095744681,188
Neotoma lepida,0.8285241098,15699
Neotoma leucodon,0.923777403,2965
Neotoma macrotis,0.8969293025,4201
Neotoma magister,0.9375,208
Neotoma mexicana,0.7593544702,7002
Neotoma micropus,0.8563387489,7817
Neotoma palatina,1,132
Neotoma phenax,0.9318734793,411
Neotoma stephensi,0.9191176471,1088
Neotomodon alstoni,0.9561878952,4428
Nephelomys albigularis,0.9510624598,1553
Nephelomys auriventer,0.875,32
Nephelomys devius,0.9685534591,318
Nephelomys keaysi,0.9733606557,488
Nephelomys levipes,0.9647887324,284
Nephelomys meridensis,0.9868421053,76
Nesokia indica,0.9381663113,469
Nesomys audeberti,0.8961038961,77
Nesomys rufus,0.9720670391,358
Nesoryzomys fernandinae,0.95,40
Niviventer andersoni,0.9838709677,62
Niviventer confucianus,0.9589774078,1682
Niviventer coninga,0.9707112971,478
Niviventer cremoriventer,0.9408450704,355
Niviventer culturatus,0.9928400955,419
Niviventer eha,0.9514925373,268
Niviventer fulvescens,0.9424538545,1842
Niviventer lepturus,0.9861751152,217
Niviventer niviventer,0.9318181818,88
Niviventer rapit,0.9645390071,141
Niviventer tenaster,0.9945205479,365
Notocitellus adocetus,0.9714587738,946
Notocitellus annulatus,0.965034965,286
Notomys alexis,0.9339025933,3162
Notomys aquilo,0.8915662651,83
Notomys cervinus,0.9644808743,366
Notomys fuscus,0.9313432836,335
Notomys mitchellii,0.9546279492,1653
Nyctomys sumichrasti,0.9342925659,6255
Ochrotomys nuttalli,0.9240682689,2871
Octodon bridgesi,0.9347826087,46
Octodon degus,0.9623477298,903
Octodon lunatus,0.9275362319,69
Octodontomys gliroides,0.9411764706,34
Oecomys auyantepui,0.975308642,162
Oecomys bicolor,0.9455337691,918
Oecomys catherinae,0.9565217391,23
Oecomys concolor,0.9359605911,406
Oecomys flavicans,0.9230769231,78
Oecomys mamorae,0.8018867925,106
Oecomys paricola,0.8933333333,75
Oecomys phaeotis,0.9782608696,46
Oecomys rutilus,0.9444444444,72
Oecomys speciosus,0.8050847458,118
Oecomys superans,0.9302325581,172
Oecomys trinitatis,0.8888888889,234
Oenomys hypoxanthus,0.8990306947,2476
Oenomys ornatus,1,24
Oligoryzomys andinus,0.8043478261,46
Oligoryzomys arenalis,0.9285714286,84
Oligoryzomys chacoensis,0.9362186788,439
Oligoryzomys delticola,0.8823529412,34
Oligoryzomys destructor,0.9452796152,1663
Oligoryzomys eliurus,0.9207317073,164
Oligoryzomys flavescens,0.9254185693,1971
Oligoryzomys fornesi,0.8870967742,62
Oligoryzomys fulvescens,0.8969863014,3650
Oligoryzomys griseolus,0.9166666667,72
Oligoryzomys longicaudatus,0.8835213916,8508
Oligoryzomys magellanicus,0.9737991266,229
Oligoryzomys microtis,0.9252498914,2301
Oligoryzomys nigripes,0.9259708738,824
Oligoryzomys stramineus,0.9230769231,26
Oligoryzomys vegetus,0.9433962264,106
Onychomys arenicola,0.9136246787,1945
Onychomys leucogaster,0.8148264701,22244
Onychomys torridus,0.8268768046,8312
Orthogeomys cavator,0.9797979798,99
Orthogeomys grandis,0.9608938547,358
Orthogeomys heterodus,0.9454545455,110
Orthogeomys hispidus,0.922506183,1213
Orthogeomys underwoodi,0.96,25
Osgoodomys banderanus,0.9596577017,2454
Otomys angoniensis,0.9201773836,451
Otomys barbouri,0.9545454545,22
Otomys denti,0.8888888889,171
Otomys irroratus,0.8859060403,894
Otomys occidentalis,1,78
Otomys tropicalis,0.9488584475,1095
Otomys typus,0.9141914191,303
Otonyctomys hatti,0.8333333333,60
Otospermophilus beecheyi,0.8530815972,4608
Otospermophilus variegatus,0.7838247683,5935
Ototylomys phyllotis,0.8892497564,3079
Oxymycterus amazonicus,0.9285714286,126
Oxymycterus hispidus,0.8775510204,98
Oxymycterus inca,0.9230769231,130
Oxymycterus josei,1,26
Oxymycterus paramensis,0.9398663697,449
Oxymycterus quaestor,0.9285714286,56
Oxymycterus roberti,0.9207317073,328
Oxymycterus rufus,0.9388185654,474
Pachyuromys duprasi,0.9959677419,248
Palawanomys furvus,0.9696969697,66
Pappogeomys bulleri,0.9580602883,763
Paramelomys platyops,0.9716312057,141
Paramelomys rubex,0.9836065574,122
Paraxerus alexandri,0.9135338346,266
Paraxerus boehmi,0.9207920792,1111
Paraxerus cepapi,0.9209257473,1037
Paraxerus flavovittis,0.9038461538,52
Paraxerus lucifer,0.84375,32
Paraxerus ochraceus,0.9178571429,280
Paraxerus palliatus,0.8962264151,106
Paraxerus poensis,0.9085714286,175
Paraxerus vexillarius,0.9302325581,86
Parotomys brantsii,0.9696969697,231
Parotomys littledalei,0.9542857143,175
Paruromys dominator,0.9736842105,190
Pedetes capensis,0.928660826,799
Pedetes surdaster,0.8717948718,39
Pelomys campanae,0.9333333333,150
Pelomys hopkinsi,0.9783549784,231
Pelomys minor,0.9270833333,192
Perognathus amplus,0.9207000273,3657
Perognathus fasciatus,0.9010416667,5376
Perognathus flavescens,0.866741573,4450
Perognathus flavus,0.8281867029,15447
Perognathus inornatus,0.9640221402,1084
Perognathus longimembris,0.8551432529,13717
Perognathus merriami,0.8888888889,2637
Perognathus parvus,0.8434939592,7201
Peromyscus attwateri,0.9561562926,4402
Peromyscus aztecus,0.9305427783,4348
Peromyscus beatae,0.9685476411,1081
Peromyscus boylii,0.7586016375,39818
Peromyscus californicus,0.9174030871,8487
Peromyscus crinitus,0.8424953172,12279
Peromyscus difficilis,0.8952719878,13769
Peromyscus eremicus,0.8160585605,35109
Peromyscus fraterculus,0.9584415584,385
Peromyscus furvus,0.9692372524,2373
Peromyscus gossypinus,0.915200176,9092
Peromyscus grandis,0.9861878453,724
Peromyscus gratus,0.9288793103,5568
Peromyscus guatemalensis,0.9717034522,1767
Peromyscus gymnotis,0.972575906,1021
Peromyscus hooperi,0.9642857143,28
Peromyscus hylocetes,0.9650793651,315
Peromyscus keeni,0.9250987995,26822
Peromyscus leucopus,0.8037535566,91380
Peromyscus levipes,0.9098084512,10389
Peromyscus maniculatus,0.7006036792,357309
Peromyscus megalops,0.9634551495,2107
Peromyscus melanocarpus,0.9885456439,2881
Peromyscus melanophrys,0.9013539652,4136
Peromyscus melanotis,0.9441826454,12308
Peromyscus melanurus,0.9792960663,483
Peromyscus merriami,0.933181473,1317
Peromyscus nasutus,0.8706937235,4238
Peromyscus ochraventer,0.9832317073,656
Peromyscus pectoralis,0.8496886784,11403
Peromyscus perfulvus,0.9519774011,354
Peromyscus polionotus,0.9422506277,4381
Peromyscus polius,0.8484848485,66
Peromyscus schmidlyi,0.9921875,128
Peromyscus simulus,0.9638888889,360
Peromyscus spicilegus,0.9422696718,2529
Peromyscus stirtoni,0.9642857143,168
Peromyscus truei,0.7703079458,31564
Peromyscus yucatanicus,0.9746031746,1890
Peromyscus zarhynchus,0.9885395239,3403
Petaurista alborufus,0.8823529412,34
Petaurista elegans,0.9545454545,22
Petaurista magnificus,0.8333333333,24
Petaurista petaurista,0.9081081081,185
Petinomys setosus,0.9433962264,53
Petinomys vordermanni,1,62
Petromus typicus,0.8942307692,104
Petromyscus barbouri,0.9090909091,22
Petromyscus collinus,0.9801762115,454
Petromyscus monticularis,0.8863636364,44
Petromyscus shortridgei,0.9615384615,26
Phenacomys intermedius,0.8735072977,2261
Phenacomys ungava,0.9378640777,1030
Phloeomys cumingi,0.9264705882,68
Phodopus campbelli,0.9342105263,152
Phodopus roborovskii,0.9657894737,380
Phodopus sungorus,0.9447004608,217
Phyllomys pattoni,0.9642857143,28
Phyllotis amicus,0.9066666667,225
Phyllotis andium,0.9530201342,447
Phyllotis caprinus,0.9,80
Phyllotis darwini,0.909854851,1309
Phyllotis definitus,0.9607843137,51
Phyllotis haggardi,0.875,40
Phyllotis limatus,0.95,160
Phyllotis magister,0.954887218,399
Phyllotis osilae,0.9506462985,851
Phyllotis wolffsohni,0.9527027027,148
Phyllotis xanthopygus,0.878470739,4682
Pithecheir parvus,0.9791666667,48
Plagiodontia aedium,0.9736842105,38
Podomys floridanus,0.9334719335,481
Pogonomys loriae,0.9010989011,91
Pogonomys macrourus,1,40
Poliocitellus franklinii,0.9251207729,828
Praomys coetzeei,0.9166666667,24
Praomys daltoni,0.9457601222,1309
Praomys degraaffi,0.9851116625,806
Praomys delectorum,0.9648288973,2104
Praomys derooi,0.9772727273,704
Praomys hartwigi,1,142
Praomys jacksoni,0.9053001876,21320
Praomys lukolelae,0.9653179191,173
Praomys minor,1,24
Praomys misonnei,0.9563729683,2338
Praomys morio,0.9837962963,432
Praomys mutoni,0.9333333333,60
Praomys petteri,0.9401709402,117
Praomys rostratus,0.969858156,564
Praomys tullbergi,0.9225101022,4207
Proechimys brevicauda,0.970323741,1112
Proechimys canicollis,0.9166666667,84
Proechimys chrysaeolus,0.9534883721,215
Proechimys cuvieri,0.9692154916,1007
Proechimys decumanus,0.9166666667,24
Proechimys echinothrix,0.99,100
Proechimys gardneri,1,47
Proechimys goeldii,0.962962963,54
Proechimys guairae,0.9635036496,411
Proechimys guyannensis,0.9572901325,1358
Proechimys hoplomyoides,0.975308642,81
Proechimys kulinae,1,104
Proechimys longicaudatus,0.9556650246,609
Proechimys mincae,0.925,40
Proechimys oconnelli,0.9881556684,1182
Proechimys pattoni,1,56
Proechimys quadruplicatus,0.9755555556,450
Proechimys roberti,0.9253731343,134
Proechimys semispinosus,0.9337442219,2596
Proechimys simonsi,0.9800884956,1356
Proechimys steerei,0.976085031,1129
Prosciurillus leucomus,0.9344262295,61
Prosciurillus murinus,0.90625,32
Protoxerus aubinnii,0.9,50
Protoxerus stangeri,0.9236111111,1152
Psammomys obesus,0.987654321,1134
Pseudomys albocinereus,0.9318854886,1013
Pseudomys apodemoides,0.9654008439,1185
Pseudomys australis,0.9399477807,383
Pseudomys bolami,0.9377470356,1012
Pseudomys calabyi,0.8958333333,48
Pseudomys chapmani,0.9638554217,415
Pseudomys delicatulus,0.9123184508,1859
Pseudomys desertor,0.9517896275,1369
Pseudomys fumeus,0.9120879121,182
Pseudomys gracilicaudatus,0.9471264368,870
Pseudomys hermannsburgensis,0.94508519,7630
Pseudomys higginsi,0.9759358289,748
Pseudomys johnsoni,0.9605263158,152
Pseudomys nanus,0.9619909502,1105
Pseudomys novaehollandiae,0.9419551935,982
Pseudomys occidentalis,0.9565217391,184
Pseudomys oralis,0.7959183673,49
Pseudomys patrius,0.92,50
Pseudomys shortridgei,0.9424920128,313
Pseudoryzomys simplex,0.8461538462,26
Pteromys volans,0.7727272727,44
Pteromyscus pulverulentus,0.9838709677,124
Punomys kofordi,0.9545454545,22
Pygeretmus pumilio,0.9512195122,123
Rattus andamanensis,0.9440993789,322
Rattus annandalei,0.9915254237,118
Rattus argentiventer,0.9402654867,452
Rattus baluensis,0.9884169884,259
Rattus colletti,0.9515235457,722
Rattus everetti,0.9627147047,2387
Rattus exulans,0.9256638884,10318
Rattus fuscipes,0.858929854,16708
Rattus giluwensis,0.9907407407,108
Rattus hoffmanni,0.9576271186,236
Rattus leucopus,0.926780341,997
Rattus losea,0.954248366,153
Rattus lutreolus,0.9109639441,5436
Rattus marmosurus,0.8888888889,54
Rattus mindorensis,0.9731800766,261
Rattus niobe,0.9899328859,298
Rattus nitidus,0.9441707718,609
Rattus norvegicus,0.7452614752,8758
Rattus osgoodi,0.96,50
Rattus praetor,0.9268292683,41
Rattus pyctoris,0.9029649596,371
Rattus rattus,0.7491139086,32728
Rattus sordidus,0.9448897796,998
Rattus steini,0.9534883721,86
Rattus tanezumi,0.9367088608,5056
Rattus tiomanicus,0.9588477366,486
Rattus tunneyi,0.9265442404,3594
Rattus verecundus,0.9615384615,26
Rattus villosissimus,0.9638690252,2657
Ratufa affinis,0.9745762712,236
Ratufa bicolor,0.8888888889,252
Ratufa indica,0.875,40
Ratufa macroura,1,22
Reithrodon auritus,0.9232995658,691
Reithrodontomys brevirostris,0.96,50
Reithrodontomys burti,0.9444444444,108
Reithrodontomys chrysopsis,0.9470468432,491
Reithrodontomys creper,0.9674418605,430
Reithrodontomys darienensis,0.9253731343,67
Reithrodontomys fulvescens,0.8195025856,16244
Reithrodontomys gracilis,0.9550561798,623
Reithrodontomys humulis,0.9446883231,1139
Reithrodontomys megalotis,0.7253881106,42256
Reithrodontomys mexicanus,0.9189038598,19742
Reithrodontomys microdon,0.948757764,644
Reithrodontomys montanus,0.9002686367,2978
Reithrodontomys raviventris,0.9727085479,1942
Reithrodontomys tenuirostris,0.97,100
Reithrodontomys zacatecae,0.9496402878,278
Rhabdomys dilectus,0.9459141681,1701
Rhabdomys pumilio,0.8985925047,5897
Rhinosciurus laticaudatus,0.9856115108,139
Rhipidomys austrinus,0.8888888889,36
Rhipidomys couesi,0.875,56
Rhipidomys fulviventer,0.9555555556,90
Rhipidomys latimanus,0.9459459459,185
Rhipidomys leucodactylus,0.9182156134,269
Rhipidomys macconnelli,0.9931129477,726
Rhipidomys macrurus,0.8095238095,42
Rhipidomys mastacalis,0.9292035398,226
Rhipidomys nitela,0.9467455621,169
Rhipidomys venezuelae,0.8571428571,84
Rhipidomys venustus,0.9239130435,92
Rhipidomys wetzeli,1,28
Rhizomys pruinosus,0.9382716049,162
Rhizomys sinensis,0.9642857143,28
Rhizomys sumatrensis,0.8977272727,88
Rhombomys opimus,0.9094650206,243
Rhynchomys soricoides,0.9450549451,91
Saccostomus campestris,0.8943626206,1969
Saccostomus mearnsi,0.8918918919,37
Scapteromys tumidus,0.9242424242,66
Sciurillus pusillus,1,34
Sciurotamias davidianus,0.8333333333,42
Sciurus aberti,0.8993506494,1848
Sciurus aestuans,0.921875,256
Sciurus alleni,0.9740566038,424
Sciurus anomalus,0.8454545455,110
Sciurus arizonensis,0.9371859296,796
Sciurus aureogaster,0.9085220501,3356
Sciurus carolinensis,0.8678060691,8601
Sciurus colliaei,0.9556650246,812
Sciurus deppei,0.9170854271,1990
Sciurus gilvigularis,0.8928571429,28
Sciurus granatensis,0.9199298656,1711
Sciurus griseus,0.8556296587,2549
Sciurus ignitus,0.9314079422,277
Sciurus igniventris,0.9273504274,234
Sciurus lis,0.8928571429,28
Sciurus nayaritensis,0.9533333333,600
Sciurus niger,0.8328903654,9030
Sciurus oculatus,0.9081081081,185
Sciurus pucheranii,0.9473684211,76
Sciurus pyrrhinus,0.9854014599,274
Sciurus richmondi,0.95,100
Sciurus spadiceus,0.9280205656,389
Sciurus stramineus,0.9153846154,130
Sciurus variegatoides,0.9561678147,1597
Sciurus vulgaris,0.8939716312,2820
Sciurus yucatanensis,0.9476923077,325
Scolomys melanops,0.9690721649,97
Scolomys ucayalensis,0.9565217391,46
Scotinomys teguina,0.9594594595,888
Scotinomys xerampelinus,0.9558441558,385
Sekeetamys calurus,0.9707112971,239
Sicista betulina,0.9503927243,2419
Sicista subtilis,0.947826087,115
Sigmodon alleni,0.9247648903,319
Sigmodon alstoni,0.9521276596,564
Sigmodon arizonae,0.8781991983,3243
Sigmodon fulviventer,0.93,2600
Sigmodon hirsutus,0.9508117276,4127
Sigmodon hispidus,0.7507323509,44719
Sigmodon leucotis,0.9451219512,820
Sigmodon mascotensis,0.9501807955,2489
Sigmodon ochrognathus,0.9138655462,952
Sigmodon toltecus,0.9061953098,2857
Sigmodontomys alfari,0.858974359,78
Sooretamys angouya,0.8956043956,182
Soricomys montanus,0.9736842105,38
Spalacopus cyanus,0.9142857143,70
Spermophilopsis leptodactylus,0.85,60
Spermophilus alashanicus,0.875,72
Spermophilus citellus,0.9478827362,307
Spermophilus dauricus,0.86,50
Spermophilus fulvus,0.9047619048,42
Spermophilus major,0.8706896552,116
Spermophilus pallidicauda,0.9444444444,36
Spermophilus pygmaeus,0.8720930233,86
Spermophilus suslicus,0.9914396887,1285
Spermophilus xanthoprymnus,0.9047619048,42
Steatomys bocagei,0.8076923077,26
Steatomys caurinus,0.9649122807,513
Steatomys krebsii,0.8169014085,71
Steatomys opimus,0.9069767442,43
Steatomys parvus,0.8671875,128
Steatomys pratensis,0.897574124,742
Stenocephalemys albipes,0.955654102,451
Stenocephalemys griseicauda,0.950617284,81
Stochomys longicaudatus,0.9443772672,3308
Stylodipus andrewsi,1,77
Stylodipus sungorus,0.9137931034,58
Stylodipus telum,0.8888888889,27
Sundamys infraluteus,0.9375,32
Sundamys muelleri,0.9621848739,714
Sundasciurus brookei,0.9423076923,52
Sundasciurus hippurus,0.9393939394,132
Sundasciurus hoogstraali,0.9264705882,68
Sundasciurus jentinki,1,35
Sundasciurus juvencus,0.962962963,270
Sundasciurus lowii,0.9517241379,145
Sundasciurus philippinensis,0.9605263158,152
Sundasciurus samarensis,1,41
Sundasciurus steerii,0.9739130435,115
Sundasciurus tenuis,0.9482758621,174
Synaptomys borealis,0.9139240506,2765
Synaptomys cooperi,0.8907314184,3377
Tachyoryctes splendens,0.9616236162,1355
Taeromys celebensis,0.5238095238,21
Tamias striatus,0.8780920089,12977
Tamiasciurus douglasii,0.8304928604,6513
Tamiasciurus hudsonicus,0.764449549,29603
Tamiasciurus mearnsi,0.9230769231,26
Tamiops maritimus,0.9811320755,265
Tamiops rodolphii,0.9523809524,42
Tamiops swinhoei,0.8987341772,79
Tarsomys apoensis,0.9545454545,66
Tateomys rhinogradoides,0.9714285714,35
Tatera indica,0.9395424837,612
Taterillus arenarius,0.995049505,202
Taterillus congicus,0.9734513274,226
Taterillus emini,0.9301075269,186
Taterillus gracilis,0.9637176938,4024
Taterillus pygargus,0.9470588235,170
Thallomys loringi,0.9,40
Thallomys nigricauda,0.95599022,409
Thallomys paedulcus,0.9081632653,196
Thalpomys lasiotis,0.9423076923,52
Thamnomys kempi,0.8974358974,78
Thamnomys venustus,0.8529411765,34
Thaptomys nigrita,0.8548387097,124
Thomasomys aureus,0.9181034483,464
Thomasomys baeops,0.9127906977,172
Thomasomys caudivarius,0.9090909091,22
Thomasomys cinereiventer,0.9726027397,730
Thomasomys cinereus,0.944,125
Thomasomys daphne,0.9146341463,82
Thomasomys gracilis,0.9705882353,34
Thomasomys hudsoni,1,43
Thomasomys hylophilus,0.9545454545,110
Thomasomys incanus,0.9090909091,22
Thomasomys ischyrus,0.9166666667,72
Thomasomys kalinowskii,0.9285714286,42
Thomasomys laniger,0.973015873,630
Thomasomys niveipes,0.9577039275,331
Thomasomys notatus,0.9473684211,57
Thomasomys oreas,0.9795918367,49
Thomasomys paramorum,0.9323308271,133
Thomasomys silvestris,0.9166666667,48
Thomasomys taczanowskii,0.9473684211,38
Thomomys bottae,0.7634802312,60904
Thomomys bulbivorus,0.9840954274,1006
Thomomys clusius,0.8571428571,42
Thomomys idahoensis,0.9473684211,342
Thomomys mazama,0.9225225225,2220
Thomomys monticola,0.9186168355,2863
Thomomys talpoides,0.7973977695,21520
Thomomys townsendii,0.9281767956,1810
Thomomys umbrinus,0.83973862,9029
Thrichomys apereoides,0.9385964912,114
Thryonomys gregorianus,0.8557692308,104
Toromys rhipidurus,0.9722222222,36
Transandinomys bolivaris,0.9314285714,175
Transandinomys talamancae,0.9365853659,1025
Trichys fasciculata,0.9375,64
Trinomys albispinus,0.9137931034,58
Trinomys eliasi,1,33
Trinomys iheringi,0.9407114625,253
Trinomys paratus,0.5238095238,21
Tscherskia triton,0.8571428571,63
Tylomys mirae,0.9230769231,26
Tylomys nudicaudus,0.9267782427,478
Tylomys watsoni,0.8615384615,65
Uranomys ruddi,0.940415964,1779
Urocitellus armatus,0.9200191571,2088
Urocitellus beldingi,0.8885519333,2638
Urocitellus canus,0.9621848739,238
Urocitellus columbianus,0.8883759966,2383
Urocitellus elegans,0.9106433678,2518
Urocitellus mollis,0.9108768567,2087
Urocitellus parryii,0.94028745,6749
Urocitellus richardsonii,0.9100075624,3967
Urocitellus townsendii,0.9387755102,490
Urocitellus undulatus,0.9246861925,478
Urocitellus washingtoni,0.9591836735,294
Uromys caudimaculatus,0.9426987061,541
Uromys hadrourus,0.9642857143,28
Vandeleuria oleracea,0.9333333333,120
Voalavo gymnocaudus,0.8928571429,28
Xenomys nelsoni,0.9082568807,109
Xerospermophilus mohavensis,0.9159292035,226
Xerospermophilus perotensis,0.9464285714,56
Xerospermophilus spilosoma,0.8455796594,4287
Xerospermophilus tereticaudus,0.8709359606,3045
Xerus erythropus,0.8855218855,594
Xerus inauris,0.9561128527,319
Xerus rutilus,0.9036144578,166
Zapus hudsonius,0.7924899565,12197
Zapus princeps,0.7822401096,11678
Zapus trinotatus,0.8824865172,3523
Zelotomys hildegardeae,0.9166666667,60
Zygodontomys brevicauda,0.9345947421,10993
Zygodontomys brunneus,0.9704142012,169
Zygogeomys trichopus,0.95,60
Zyzomys argurus,0.9243353783,4401
Zyzomys maini,0.9892086331,278
Zyzomys pedunculatus,0.9285714286,42
