taxa,accuracy,sample_size
Calomys laucha,0.9654510557,5210
Calomys musculinus,0.9364381957,3414
Calomys sorellus,0.9005524862,362
Calomys tener,0.9202453988,163
Calomyscus bailwardi,0.980952381,210
Calomyscus baluchi,0.9850746269,268
Calomyscus mystax,0.9032258065,62
Cannomys badius,0.9259259259,108
Capromys pilorides,0.9660194175,206
Cardiocranius paradoxus,0.94,50
Carpomys melanurus,0.8823529412,34
Caryomys eva,0.9498007968,1255
Cavia aperea,0.9073634204,421
Cavia fulgida,0.7857142857,28
Cavia tschudii,0.8863636364,132
Cerradomys maracajuensis,0.9738903394,383
Cerradomys subflavus,0.9090909091,242
Chaetodipus arenarius,0.9357052556,5537
Chaetodipus artus,0.9535783366,1551
Chaetodipus baileyi,0.8878513146,11030
Chaetodipus californicus,0.9090712275,4619
Chaetodipus eremicus,0.919346858,4042
Chaetodipus fallax,0.8992942972,5243
Chaetodipus formosus,0.8850673854,9275
Chaetodipus goldmani,0.956554878,2624
Chaetodipus hispidus,0.8862082312,7751
Chaetodipus intermedius,0.8626107977,9928
Chaetodipus lineatus,0.9444444444,108
Chaetodipus nelsoni,0.9180716177,7177
Chaetodipus penicillatus,0.8347977775,15478
Chaetodipus pernix,0.9414032382,2594
Chaetodipus rudinoris,0.9704142012,338
Chaetodipus spinatus,0.897679468,7369
Chelemys macronyx,0.9546599496,794
Chilomys instans,0.8870967742,124
Chinchilla lanigera,0.890625,64
Chinchillula sahamae,0.876344086,186
Chionomys nivalis,0.9513444302,781
Chiropodomys calamianensis,0.9117647059,34
Chiropodomys gliroides,0.9581395349,215
Chrotomys mindorensis,0.9776674938,403
Chrotomys silaceus,0.9798994975,199
Chrotomys whiteheadi,0.9596367306,991
Coccymys shawmayeri,0.9833333333,60
Coendou bicolor,0.875,48
Coendou prehensilis,0.820754717,106
Conilurus penicillatus,0.8950819672,305
Cratogeomys castanops,0.8823781009,4676
Cratogeomys fulvescens,0.9722222222,72
Cratogeomys fumosus,0.9587242026,1066
Cratogeomys goldmani,0.9708939709,962
Cratogeomys merriami,0.9676071055,957
Cratogeomys perotensis,0.9493243243,296
Cratogeomys planiceps,0.9659090909,88
Cricetomys ansorgei,0.9343971631,564
Cricetomys emini,0.9367859863,1313
Cricetomys gambianus,0.8861502347,852
Cricetulus barabensis,0.9154929577,284
Cricetulus longicaudatus,0.9509594883,469
Cricetulus migratorius,0.9315300085,1183
Cricetus cricetus,0.9341825902,471
Crunomys melanius,0.8709677419,31
Cryptomys hottentotus,0.9124748491,994
Ctenodactylus gundi,0.9920634921,126
Ctenomys boliviensis,0.9825200291,1373
Ctenomys bonettoi,0.9887640449,89
Ctenomys colburni,0.9545454545,66
Ctenomys conoveri,0.84375,32
Ctenomys coyhaiquensis,1,88
Ctenomys dorbignyi,0.9888888889,180
Ctenomys dorsalis,0.9411764706,34
Ctenomys frater,0.9518072289,83
Ctenomys fulvus,0.9736842105,38
Ctenomys haigi,0.952,500
Ctenomys leucodon,0.9615384615,52
Ctenomys lewisi,0.9769230769,130
Ctenomys magellanicus,0.8846153846,52
Ctenomys maulinus,0.9432989691,194
Ctenomys mendocinus,0.9132231405,242
Ctenomys opimus,0.9694835681,426
Ctenomys perrensi,0.9342105263,76
Ctenomys peruanus,0.9130434783,46
Ctenomys rionegrensis,0.880952381,42
Ctenomys sociabilis,0.992481203,399
Ctenomys steinbachi,0.9625,160
Ctenomys talarum,0.9847328244,131
Ctenomys torquatus,0.875,24
Ctenomys yolandae,0.9823788546,227
Cuniculus paca,0.8966872544,1781
Cuniculus taczanowskii,0.9017857143,112
Cynomys gunnisoni,0.8841679312,1977
Cynomys leucurus,0.9049662784,1631
Cynomys ludovicianus,0.8968811464,3559
Cynomys mexicanus,0.9696202532,395
Cynomys parvidens,0.9748743719,199
Dacnomys millardi,0.9090909091,22
Dactylomys boliviensis,0.988372093,86
Dactylomys dactylinus,0.9112903226,124
Dasymys foxi,0.9646017699,113
Dasymys incomtus,0.8876684973,2003
Dasymys nudipes,0.8846153846,26
Dasymys rufulus,0.9581673307,1506
Dasyprocta azarae,0.88,25
Dasyprocta fuliginosa,0.9145907473,281
Dasyprocta kalinowskii,0.9545454545,22
Dasyprocta leporina,0.919047619,210
Dasyprocta mexicana,0.9295774648,213
Dasyprocta punctata,0.9110512129,1113
Delanymys brooksi,0.921875,64
Delomys dorsalis,0.9484978541,233
Delomys sublineatus,0.9433962264,106
Dendromus insignis,0.9264705882,544
Dendromus lovati,0.9787234043,47
Dendromus melanotis,0.9239130435,552
Dendromus mesomelas,0.9366852886,537
Dendromus messorius,0.9,120
Dendromus mystacalis,0.9161764706,680
Dendromus nyikae,0.9047619048,168
Desmodilliscus braueri,0.9953703704,648
Desmodillus auricularis,0.9530277306,1767
Dicrostonyx groenlandicus,0.9681473829,5808
Dicrostonyx hudsonius,0.9758403361,952
Dicrostonyx nelsoni,0.8974358974,39
Dicrostonyx nunatakensis,1,24
Dicrostonyx richardsoni,0.9649122807,570
Dicrostonyx torquatus,0.9823633157,1134
Dicrostonyx unalascensis,0.9523809524,42
Dinomys branickii,0.9090909091,110
Dipodomys agilis,0.9132575758,7920
Dipodomys californicus,0.9199004975,2010
Dipodomys compactus,0.9548387097,775
Dipodomys deserti,0.8625970664,4636
Dipodomys elator,0.9881154499,589
Dipodomys gravipes,0.9658792651,381
Dipodomys heermanni,0.939556894,4649
Dipodomys ingens,0.9727722772,404
Dipodomys merriami,0.8326827023,58661
Dipodomys microps,0.9055743243,5920
Dipodomys nelsoni,0.9677700348,1148
Dipodomys nitratoides,0.9854904237,1723
Dipodomys ordii,0.8336927415,42199
Dipodomys ornatus,0.9757673667,619
Dipodomys panamintinus,0.9168597914,6904
Dipodomys phillipsii,0.9226190476,504
Dipodomys simulans,0.9245810056,2864
Dipodomys spectabilis,0.8777999004,4018
Dipodomys stephensi,0.980568012,669
Dipodomys venustus,0.9741035857,1004
Dipus sagitta,0.9510022272,449
Dolichotis patagonum,0.9069767442,43
Dolichotis salinicola,0.880952381,42
Dremomys everetti,0.9651162791,86
Dremomys lokriah,0.9641025641,195
Dremomys pernyi,0.8785714286,140
Dremomys pyrrhomerus,0.9418604651,86
Dremomys rufigenis,0.9312169312,189
Dryomys nitedula,0.9019073569,367
Echimys chrysurus,0.9615384615,26
Eligmodontia moreni,0.9318181818,308
Eligmodontia morgani,0.9382422803,1263
Eligmodontia puerulus,0.90625,256
Eligmodontia typus,0.933604336,738
Eliomys melanurus,0.9523809524,63
Eliomys munbyanus,0.8870967742,124
Eliomys quercinus,0.9540117417,2044
Eliurus antsingy,0.9285714286,56
Eliurus grandidieri,0.9347826087,184
Eliurus majori,0.9795321637,342
Eliurus minor,0.972299169,361
Eliurus myoxinus,0.9764011799,339
Eliurus tanala,0.975,360
Eliurus webbi,0.9685658153,509
Ellobius fuscocapillus,0.9252336449,107
Ellobius talpinus,0.9642857143,392
Ellobius tancrei,0.9482071713,251
Eoglaucomys fimbriatus,0.9642857143,28
Eolagurus luteus,1,142
Eospalax fontanierii,0.9473684211,38
Eothenomys cachinus,1,22
Eothenomys chinensis,0.9264705882,68
Eothenomys custos,0.9625,80
Eothenomys melanogaster,0.9396411093,613
Eothenomys miletus,0.9791666667,48
Eothenomys proditor,1,38
Epixerus ebii,0.9047619048,42
Eremoryzomys polius,0.9333333333,30
Eropeplus canus,0.9516129032,62
Euchoreutes naso,0.9047619048,42
Euneomys chinchilloides,0.9657534247,146
Euneomys mordax,0.9117647059,34
Euneomys petersoni,0.9411764706,34
Euryoryzomys emmonsae,0.9166666667,48
Euryoryzomys legatus,0.9142857143,140
Euryoryzomys macconnelli,0.9747706422,436
Euryoryzomys nitidus,0.9473684211,1083
Euryoryzomys russatus,0.9716494845,388
Exilisciurus concinnus,0.9439252336,107
Exilisciurus exilis,0.9156626506,83
Exilisciurus whiteheadi,0.9722222222,36
Felovia vae,1,35
Funambulus palmarum,0.9444444444,54
Funambulus pennantii,0.9387755102,196
Funambulus sublineatus,1,24
Funisciurus anerythrus,0.9293078056,679
Funisciurus bayonii,0.8823529412,34
Funisciurus carruthersi,0.9395973154,298
Funisciurus congicus,0.897810219,274
Funisciurus isabella,0.9117647059,102
Funisciurus lemniscatus,0.8863636364,176
Funisciurus leucogenys,0.8717948718,78
Funisciurus pyrropus,0.9160636758,691
Funisciurus substriatus,1,24
Galea musteloides,0.9090909091,385
Galea spixii,0.8805970149,67
Geomys arenarius,0.9612403101,1032
Geomys attwateri,0.9835271318,1032
Geomys breviceps,0.9415089008,3539
Geomys bursarius,0.9188096147,13105
Geomys knoxjonesi,0.9785330948,559
Geomys personatus,0.9507202426,1319
Geomys pinetis,0.9340659341,1092
Geomys texensis,0.9633587786,655
Geomys tropicalis,0.9898989899,198
Georychus capensis,0.8392857143,56
Geoxus valdivianus,0.9329685363,731
Gerbilliscus afra,0.9241803279,488
Gerbilliscus boehmi,0.8615384615,130
Gerbilliscus brantsii,0.9503311258,302
Gerbilliscus guineae,0.9711286089,1143
Gerbilliscus leucogaster,0.9515103339,2516
Gerbilliscus nigricaudus,0.9090909091,88
Gerbilliscus phillipsi,0.8888888889,36
Gerbilliscus robustus,0.9370460048,826
Gerbilliscus validus,0.9245951417,1976
Gerbillurus paeba,0.9532568708,4621
Gerbillurus setzeri,0.96875,128
Gerbillurus tytonis,0.9726775956,183
Gerbillurus vallinus,0.987755102,245
Gerbillus amoenus,0.9849056604,265
Gerbillus andersoni,0.9855595668,554
Gerbillus cheesmani,0.9453551913,183
Gerbillus famulus,0.9,40
Gerbillus gerbillus,0.9643950995,2612
Gerbillus henleyi,0.8636363636,176
Gerbillus hesperinus,0.9886363636,176
Gerbillus latastei,0.985267035,543
